G1,G2,studytime,absences,failures,sleep_hours,social_media,Medu,Fedu,famrel,internet,higher,G3
7,9,1,7,2,5,4,1,1,2,0,0,45
8,10,1,6,2,6,4,1,1,2,0,0,48
9,11,2,5,1,6,3,2,2,3,1,1,55
10,12,2,4,1,6,3,2,2,3,1,1,60
11,13,2,3,1,7,3,2,2,3,1,1,65
13,15,3,2,0,7,2,3,3,4,1,1,75
14,16,3,2,0,8,2,3,3,4,1,1,80
15,17,3,1,0,8,1,4,4,5,1,1,85
17,19,4,0,0,9,1,4,4,5,1,1,92
18,20,4,0,0,9,1,4,4,5,1,1,96
9,10,1,6,2,5,4,1,1,2,0,0,47
10,11,2,5,1,6,3,2,2,3,1,1,58
11,12,2,4,1,6,3,2,2,3,1,1,62
12,13,2,3,0,7,2,3,3,4,1,1,68
13,14,3,2,0,7,2,3,3,4,1,1,72
14,15,3,2,0,7,2,3,3,4,1,1,78
15,16,3,1,0,8,1,4,4,5,1,1,82
16,17,4,1,0,8,1,4,4,5,1,1,87
17,18,4,0,0,9,1,4,4,5,1,1,91
18,19,4,0,0,9,1,4,4,5,1,1,95
10,11,2,5,1,6,3,2,2,3,1,1,59
12,13,2,3,0,7,2,3,3,4,1,1,69
13,14,3,2,0,7,2,3,3,4,1,1,74
14,15,3,2,0,7,2,3,3,4,1,1,79
15,16,3,1,0,8,1,4,4,5,1,1,84
16,17,4,1,0,8,1,4,4,5,1,1,88
17,18,4,0,0,9,1,4,4,5,1,1,92
18,19,4,0,0,9,1,4,4,5,1,1,96
7,8,1,8,2,5,4,1,1,2,0,0,44
10,11,2,5,1,6,3,2,2,3,1,1,60
12,13,2,3,0,7,2,3,3,4,1,1,70
19,20,4,0,0,8,1,4,4,5,1,1,98
18,18,4,2,0,7,2,3,4,4,1,1,90
17,16,3,1,0,8,2,4,4,5,1,1,84
15,16,3,4,0,7,2,3,2,4,1,1,78
14,14,2,3,0,8,3,2,2,4,1,1,70
12,13,2,5,0,7,3,2,2,3,1,1,64
10,11,2,8,1,6,4,2,1,3,1,1,53
8,9,1,12,1,6,4,1,1,2,0,0,43
6,7,1,18,2,5,5,1,1,2,0,0,33
16,14,1,4,0,6,5,4,3,4,1,1,74
19,19,4,1,0,8,1,4,4,5,1,1,96
17,18,3,2,0,8,2,3,4,4,1,1,88
16,16,3,3,0,7,2,4,3,5,1,1,80
15,14,2,5,0,7,3,2,3,4,1,1,72
13,13,2,4,0,8,3,2,2,4,1,1,66
11,12,2,6,1,7,3,2,1,3,1,1,58
9,10,1,10,1,6,4,1,2,2,1,0,48
7,8,1,14,2,5,5,1,1,2,0,0,38
5,6,1,20,3,5,5,1,1,1,0,0,28
14,12,4,1,0,5,2,3,3,3,1,1,65
18,20,4,0,0,9,1,4,4,5,1,1,95
17,17,4,3,0,7,1,4,4,4,1,1,86
15,17,3,2,0,8,2,3,3,5,1,1,81
14,15,3,4,0,7,3,2,2,4,1,1,74
12,14,2,2,0,8,3,2,3,4,1,1,65
11,11,2,5,0,7,3,2,2,3,1,1,55
9,9,1,11,1,6,4,1,1,3,1,0,45
6,8,1,16,2,5,4,1,1,2,0,0,35
4,5,1,25,3,4,5,1,1,2,0,0,22
15,13,1,6,0,7,5,4,4,4,1,1,70
19,18,4,2,0,8,1,4,4,5,1,1,93
18,17,3,1,0,8,2,3,4,4,1,1,88
16,15,3,5,0,7,2,3,3,4,1,1,78
14,16,3,2,0,7,3,2,2,4,1,1,76
13,12,2,4,0,8,3,3,2,4,1,1,62
10,12,2,7,1,6,3,2,1,3,1,1,56
8,10,1,9,1,6,4,1,2,3,0,0,46
7,7,1,15,2,5,5,1,1,2,0,0,36
6,6,1,22,2,5,5,1,1,2,0,0,30
13,11,4,0,0,5,2,3,2,3,1,1,60
20,19,4,0,0,9,1,4,4,5,1,1,98
17,19,4,1,0,8,2,3,3,4,1,1,91
15,15,3,4,0,7,2,4,4,5,1,1,76
14,13,2,3,0,8,3,2,2,4,1,1,68
12,12,2,6,0,7,3,2,3,3,1,1,60
11,10,2,8,1,6,4,2,2,3,1,1,53
9,8,1,12,1,6,4,1,1,2,1,0,42
7,9,1,13,2,5,4,1,2,2,0,0,41
5,5,1,24,3,4,5,1,1,1,0,0,25
16,15,1,3,0,6,5,4,4,4,1,1,78
18,19,4,1,0,8,1,4,4,5,1,1,93
16,18,3,2,0,8,2,3,3,4,1,1,85
15,14,3,5,0,7,2,3,4,4,1,1,73
14,15,3,3,0,7,3,2,2,5,1,1,74
12,11,2,4,0,8,3,2,3,4,1,1,58
10,10,2,7,1,6,3,2,1,3,1,1,50
8,8,1,10,1,6,4,1,1,3,0,0,40
6,9,1,14,2,5,5,1,2,2,0,0,38
5,7,1,21,3,4,5,1,1,2,0,0,30
14,11,4,2,0,5,2,2,2,3,1,1,62
19,18,4,0,0,9,1,4,4,5,1,1,94
17,17,4,1,0,8,2,4,3,4,1,1,85
16,15,3,4,0,7,2,3,3,4,1,1,78
14,14,3,2,0,8,3,2,2,5,1,1,71
13,14,2,5,0,7,3,2,2,3,1,1,68
11,13,2,6,0,6,4,2,1,4,1,1,60
9,11,1,9,1,6,4,1,2,3,1,0,50
7,6,1,16,2,5,5,1,1,2,0,0,33
6,5,1,23,3,5,5,1,1,1,0,0,28
15,12,1,5,0,7,5,4,3,4,1,1,68
18,20,4,1,0,8,1,4,4,5,1,1,96
16,17,3,2,0,8,2,4,4,4,1,1,83
15,16,3,4,0,7,2,3,3,5,1,1,78
14,13,3,3,0,7,3,2,3,4,1,1,68
12,12,2,4,0,8,3,2,2,4,1,1,61
10,9,2,8,1,6,4,2,1,3,1,1,48
8,7,1,11,1,6,4,1,1,2,0,0,38
7,8,1,15,2,5,5,1,2,2,0,0,38
4,6,1,26,3,4,5,1,1,2,0,0,25
13,10,4,1,0,5,2,3,2,3,1,1,58
19,19,4,0,0,8,1,4,4,5,1,1,96
17,18,4,2,0,7,2,3,4,4,1,1,88
16,14,3,5,0,8,2,3,3,4,1,1,75
14,15,3,2,0,7,3,2,2,5,1,1,73
13,13,2,4,0,7,3,2,3,3,1,1,65
11,12,2,7,1,6,4,2,1,3,1,1,58
9,10,1,10,1,6,4,1,2,3,1,0,48
8,6,1,17,2,5,5,1,1,2,0,0,36
5,4,1,28,3,4,5,1,1,1,0,0,22
15,14,1,4,0,6,5,4,4,4,1,1,73
18,18,4,1,0,9,1,4,4,5,1,1,91
16,16,3,3,0,8,2,3,4,4,1,1,80
15,15,3,4,0,7,2,4,3,4,1,1,76
14,14,2,2,0,8,3,2,2,5,1,1,70
12,13,2,6,0,7,3,2,3,3,1,1,63
10,11,2,9,1,6,4,2,1,3,1,1,53
8,9,1,12,1,6,4,1,2,2,0,0,43
7,7,1,18,2,5,5,1,1,2,0,0,35
6,7,1,20,3,4,5,1,1,1,0,0,32
14,12,4,2,0,5,2,3,2,3,1,1,65
19,17,4,3,0,8,2,4,4,5,1,1,92
18,16,3,5,0,7,2,3,4,4,1,1,85
17,19,4,1,0,8,1,4,3,5,1,1,90
16,18,3,2,0,9,2,4,4,5,1,1,86
20,18,4,0,0,8,1,4,4,4,1,1,95
19,19,3,2,0,7,2,3,4,5,1,1,94
18,17,4,4,0,8,1,4,2,4,1,1,88
17,16,3,6,0,7,3,3,3,4,1,1,82
16,15,3,3,0,8,2,4,3,5,1,1,78
15,18,4,1,0,8,1,3,4,4,1,1,84
18,18,3,4,0,7,3,4,4,3,1,1,89
17,15,3,7,0,8,2,3,2,4,1,1,79
16,17,4,2,0,9,2,4,3,5,1,1,83
15,16,3,5,0,7,3,2,3,4,1,1,77
14,17,3,3,0,8,2,3,4,4,1,1,78
19,16,4,5,0,7,2,4,4,3,1,1,87
18,19,3,1,0,8,1,3,3,5,1,1,93
17,17,4,2,0,8,2,4,4,4,1,1,85
16,16,3,4,0,7,3,3,2,5,1,1,80
15,15,3,6,0,8,2,2,3,4,1,1,75
14,14,3,5,0,7,3,3,3,4,1,1,70
13,15,2,4,0,8,3,2,3,5,1,1,71
12,14,2,6,0,7,4,2,2,4,1,1,66
11,13,2,8,0,6,3,1,2,3,1,1,61
14,13,2,5,0,8,4,3,3,4,1,1,68
13,12,2,7,0,7,3,2,2,5,1,1,63
12,13,2,4,0,8,3,3,2,4,1,1,64
11,12,2,6,0,7,4,2,1,3,1,1,58
10,11,2,9,1,6,3,1,2,4,1,1,53
14,15,2,3,0,8,3,3,3,4,1,1,73
13,14,2,5,0,7,4,2,2,5,1,1,68
12,11,2,8,0,8,3,2,3,3,1,1,59
11,10,2,10,1,6,4,1,1,4,1,1,52
10,12,2,4,0,7,3,2,2,3,1,1,56
13,13,2,6,0,8,4,3,2,4,1,1,66
12,12,2,7,0,7,3,2,2,5,1,1,61
11,11,2,9,1,6,4,1,2,3,1,1,56
10,10,2,11,1,7,3,1,1,4,1,0,50
9,11,1,5,0,8,4,2,1,3,1,1,51
12,14,2,3,0,7,3,3,3,4,1,1,65
11,13,2,5,0,8,4,2,2,5,1,1,62
10,12,2,7,0,6,3,1,2,3,1,1,57
9,10,1,10,1,7,4,1,1,4,1,0,48
8,9,1,12,1,6,5,1,2,3,0,0,43
11,12,2,4,0,8,3,2,2,4,1,1,59
10,11,2,6,1,7,4,1,1,5,1,1,54
9,9,1,11,1,6,3,1,2,3,1,0,46
8,8,1,14,2,5,5,1,1,4,0,0,40
7,10,1,8,1,7,4,2,1,3,0,0,42
10,10,2,5,1,8,3,1,2,4,1,1,52
9,8,1,13,1,6,4,1,1,3,1,0,42
8,7,1,16,2,5,5,1,2,4,0,0,38
7,8,1,12,2,6,4,1,1,3,0,0,39
6,7,1,18,2,5,5,1,1,4,0,0,33
9,9,1,9,1,7,4,2,1,3,1,0,46
8,10,1,7,1,8,3,1,2,4,0,0,45
7,7,1,15,2,6,5,1,1,3,0,0,35
6,6,1,20,2,5,4,1,1,4,0,0,30
5,7,1,17,3,6,5,1,2,3,0,0,30
8,8,1,11,1,7,4,1,1,4,0,0,41
7,6,1,19,2,5,5,1,1,3,0,0,33
6,8,1,14,2,6,4,1,2,4,0,0,35
5,5,1,22,3,5,5,1,1,3,0,0,26
4,6,1,24,3,4,5,1,1,2,0,0,24
7,7,1,13,2,7,4,1,1,4,0,0,36
6,5,1,21,2,5,5,1,2,3,0,0,28
5,4,1,25,3,6,5,1,1,4,0,0,24
4,5,1,28,3,4,5,1,1,2,0,0,22
3,4,1,30,3,5,5,1,1,3,0,0,18
6,6,1,16,2,6,4,1,1,4,0,0,31
5,6,1,18,3,5,5,1,2,3,0,0,28
4,4,1,26,3,4,5,1,1,4,0,0,21
3,5,1,29,3,5,5,1,1,2,0,0,20
2,3,1,32,3,4,5,1,1,3,0,0,15
16,11,1,14,1,5,5,4,3,2,1,1,66
11,16,4,2,0,8,2,2,2,4,1,1,69
8,14,3,6,0,7,3,1,1,5,1,1,56
14,8,1,20,2,5,5,3,4,2,1,0,54
18,12,2,12,1,6,4,4,4,3,1,1,76
12,18,4,1,0,8,1,2,3,5,1,1,77
9,15,3,4,0,7,2,1,2,4,1,1,62
15,9,1,18,2,5,5,4,2,3,1,0,59
17,10,2,15,1,6,4,3,4,2,1,1,68
10,17,4,0,0,9,1,1,1,5,1,1,71
19,13,2,10,0,7,3,4,4,3,1,1,81
13,19,4,2,0,8,1,2,2,5,1,1,82
7,12,3,5,0,7,2,1,1,4,0,1,50
12,7,1,16,2,5,5,2,3,2,1,0,48
16,12,2,11,1,6,4,4,3,3,1,1,72
12,16,4,1,0,8,2,2,2,5,1,1,73
8,13,3,3,0,7,2,1,1,4,0,1,53
13,8,1,14,2,6,4,3,2,3,1,0,51
18,14,2,8,0,7,3,4,4,4,1,1,80
14,18,4,0,0,8,1,3,2,5,1,1,81
9,14,3,4,0,7,2,1,2,4,1,1,59
14,9,1,17,2,5,5,3,3,2,1,0,58
17,11,2,13,1,6,4,4,4,3,1,1,71
11,17,4,1,0,8,1,2,1,5,1,1,72
6,11,3,6,0,7,2,1,1,4,0,0,44
11,6,1,22,2,5,5,2,2,2,1,0,42
0,0,1,20,3,4,5,1,1,2,0,0,0
0,0,1,22,2,5,5,1,2,3,0,0,0
0,0,1,25,3,6,4,2,1,2,1,0,0
0,0,1,28,3,5,5,1,1,1,0,0,0
0,0,1,30,2,4,4,2,2,3,1,0,0
0,0,1,32,3,5,5,1,1,2,0,0,0
0,0,1,35,3,6,4,1,2,1,0,0,0
0,0,1,38,2,4,5,2,1,2,1,0,0
0,0,1,40,3,5,5,1,1,3,0,0,0
0,0,1,42,3,4,4,2,2,2,1,0,0
0,0,1,45,2,5,5,1,1,1,0,0,0
0,0,1,48,3,6,5,2,1,3,1,0,0
0,0,1,50,3,5,4,1,2,2,0,0,0
0,0,1,21,2,4,5,1,1,1,0,0,0
0,0,1,23,3,5,4,2,2,3,1,0,0
0,0,1,26,2,6,5,1,1,2,0,0,0
0,0,1,29,3,4,4,1,2,1,0,0,0
0,0,1,31,3,5,5,2,1,3,1,0,0
0,0,1,34,2,4,4,1,1,2,0,0,0
0,0,1,37,3,6,5,2,2,1,1,0,0
0,0,1,39,3,5,4,1,1,3,0,0,0
0,0,1,41,2,4,5,2,1,2,1,0,0
0,0,1,44,3,5,5,1,2,1,0,0,0
0,0,1,47,3,6,4,2,2,3,1,0,0
0,0,1,49,2,4,5,1,1,2,0,0,0
0,0,1,52,3,5,4,2,1,1,1,0,0
0,0,1,55,3,4,5,1,2,2,0,0,0
0,0,1,18,2,6,5,2,2,3,1,0,0
0,0,1,19,3,5,4,1,1,1,0,0,0
0,0,1,24,2,4,5,2,1,2,1,0,0
0,0,1,27,3,5,5,1,2,3,0,0,0
0,0,1,33,3,6,4,2,2,1,1,0,0
0,0,1,36,2,4,5,1,1,2,0,0,0
8,0,1,15,2,5,4,2,2,3,1,0,0
10,0,2,18,1,6,3,2,1,4,1,1,0
12,0,2,20,1,7,4,3,2,3,1,1,0
7,0,1,14,2,5,5,1,1,2,0,0,0
9,0,1,17,1,6,4,2,2,4,1,0,0
11,0,2,19,1,7,3,3,1,3,1,1,0
13,0,2,22,1,8,2,3,3,4,1,1,0
6,0,1,16,2,5,5,1,2,2,0,0,0
8,0,1,21,1,6,4,2,1,3,1,0,0
10,0,2,23,1,7,3,2,2,4,1,1,0
14,0,3,15,0,8,2,4,3,5,1,1,0
7,0,1,25,2,4,5,1,1,2,0,0,0
9,0,2,28,1,6,4,2,2,3,1,0,0
11,0,2,30,1,7,3,3,2,4,1,1,0
12,0,2,32,0,6,3,2,3,3,1,1,0
8,0,1,24,2,5,5,1,2,2,0,0,0
10,0,2,26,1,7,4,2,1,3,1,1,0
13,0,3,20,0,8,2,3,4,4,1,1,0
6,0,1,29,2,4,5,1,1,2,0,0,0
9,0,1,31,1,6,4,2,2,3,1,0,0
11,0,2,33,1,7,3,3,1,4,1,1,0
14,0,3,25,0,7,2,4,2,5,1,1,0
7,0,1,35,2,5,5,1,2,2,0,0,0
10,0,2,38,1,6,4,2,1,3,1,1,0
12,0,2,40,1,7,3,3,2,4,1,1,0
8,0,1,37,2,4,5,1,1,2,0,0,0
11,0,2,42,1,6,3,2,2,3,1,1,0
13,0,3,30,0,8,2,4,3,4,1,1,0
9,0,1,45,2,5,4,2,1,2,1,0,0
10,0,2,48,1,7,3,3,2,4,1,1,0
14,0,3,35,0,8,2,3,4,5,1,1,0
15,0,3,22,0,7,2,4,4,4,1,1,0
6,0,1,40,2,4,5,1,2,2,0,0,0
0,8,1,12,2,5,4,1,1,3,0,0,18
0,10,2,10,1,6,3,2,2,4,1,1,22
0,12,2,8,1,7,2,3,2,4,1,1,28
0,7,1,15,2,5,5,1,2,2,0,0,15
0,9,1,14,1,6,4,2,1,3,1,0,20
0,11,2,11,1,7,3,2,2,4,1,1,25
0,13,2,9,0,8,2,3,3,5,1,1,30
0,6,1,18,2,4,5,1,1,2,0,0,12
0,8,1,17,1,5,4,2,2,3,1,0,16
0,10,2,13,1,6,3,2,1,4,1,1,24
0,14,3,7,0,8,2,4,3,5,1,1,32
0,7,1,20,2,5,5,1,2,3,0,0,14
0,9,2,19,1,6,4,2,2,4,1,0,21
0,11,2,16,1,7,3,3,2,3,1,1,26
0,12,2,14,0,8,2,2,3,4,1,1,29
0,8,1,22,2,4,5,1,1,2,0,0,17
0,10,2,21,1,6,3,2,2,4,1,1,23
0,13,3,12,0,7,2,3,4,5,1,1,31
0,6,1,25,2,5,4,1,2,2,0,0,10
0,9,1,24,1,6,4,2,1,3,1,0,19
0,11,2,23,1,7,3,3,2,4,1,1,27
0,14,3,10,0,8,2,4,2,4,1,1,34
0,7,1,28,2,4,5,1,1,3,0,0,13
0,10,2,27,1,6,3,2,2,4,1,1,25
0,12,2,26,1,7,2,3,3,5,1,1,28
0,8,1,30,2,5,5,1,2,2,0,0,15
0,11,2,29,1,6,4,2,1,4,1,1,24
0,13,3,18,0,8,2,4,3,4,1,1,33
0,9,1,32,2,4,4,2,2,3,1,0,18
0,10,2,31,1,7,3,3,1,4,1,1,22
0,14,3,15,0,8,2,3,4,5,1,1,35
0,15,3,14,0,7,2,4,4,4,1,1,38
0,6,1,35,2,5,5,1,1,2,0,0,11
5,6,2,6,0,8,5,4,4,4,0,1,6
5,5,2,4,0,9,5,1,1,5,1,1,6
7,8,2,10,3,7,3,1,1,4,1,1,10
15,14,3,2,0,9,4,4,2,3,1,1,15
6,10,2,4,0,9,2,3,3,4,0,1,10
15,15,2,10,0,6,3,4,3,5,1,1,15
12,12,2,0,0,7,5,2,2,4,1,1,11
6,5,2,6,0,7,1,4,4,4,0,1,6
16,18,2,0,0,7,5,3,2,4,1,1,19
14,15,2,0,0,9,4,3,4,5,1,1,15
10,8,2,0,0,8,5,4,4,3,1,1,9
10,12,3,4,0,7,1,2,1,5,1,1,12
14,14,1,2,0,9,4,4,4,4,1,1,14
10,10,2,2,0,6,5,4,3,5,1,1,11
14,16,3,0,0,8,4,2,2,4,1,1,16
14,14,1,4,0,6,2,4,4,4,1,1,14
13,14,3,6,0,8,2,4,4,3,1,1,14
8,10,2,4,0,9,5,3,3,5,0,1,10
6,5,1,16,3,5,4,3,2,5,1,1,5
8,10,1,4,0,8,1,4,3,3,1,1,10
13,14,2,0,0,6,5,4,3,4,1,1,15
12,15,1,0,0,9,2,4,4,5,1,1,15
15,15,2,2,0,8,2,4,2,4,1,1,16
13,13,2,0,0,5,5,2,2,5,1,1,12
10,9,3,2,0,5,4,2,4,4,1,1,8
6,9,1,14,2,7,2,2,2,1,1,1,8
12,12,1,2,0,7,4,2,2,4,1,1,11
15,16,1,4,0,6,2,4,2,2,1,1,15
11,11,2,4,0,8,2,3,4,5,1,1,11
10,12,2,16,0,8,3,4,4,4,1,1,11
9,11,2,0,0,7,2,4,4,5,1,1,12
17,16,2,0,0,8,1,4,4,4,1,1,17
8,8,2,0,0,7,4,4,3,4,1,1,16
8,10,2,0,0,7,4,3,3,5,1,1,12
12,14,1,0,0,9,5,3,2,5,1,1,15
8,7,1,7,0,7,4,2,3,3,0,1,6
15,16,3,7,0,9,4,4,4,5,1,1,15
12,14,3,2,0,8,2,3,4,4,1,1,11
14,13,1,8,0,5,4,2,2,4,1,1,13
7,10,2,25,1,9,2,2,2,3,1,1,11
12,12,1,8,0,5,4,4,4,5,1,1,12
13,10,2,2,0,8,5,4,4,4,1,1,18
8,8,1,0,0,6,5,2,2,5,1,1,11
9,10,2,14,1,6,2,2,2,4,1,1,9
8,8,2,8,0,6,3,4,3,5,1,1,6
11,12,2,12,0,7,4,3,3,2,1,1,11
7,8,4,4,0,9,1,4,3,4,1,1,20
15,15,2,2,0,6,1,4,2,4,0,1,14
7,7,2,2,1,6,3,4,4,4,1,1,7
